organization,domain,country,tier,type,relevance,audience,credibility,contactability,asset_fit,link_opportunity,score_100,contact_name,role,email,email_source,contact_form,recent_content,proposed_angle,proposed_asset,target_url,status,last_action,next_action,live_coverage,live_backlink
AsCourtage,ascourtage.fr,FR,3,media et annuaire du courtage,24,16,13,5,8,6,72,equipe,equipe editoriale,,formulaire du site (aucun email public),oui,espace presse et contenus pratiques pour courtiers (verifie en ligne),voir 12_PR_ANGLES.md,/etudes/courtage-assurance-france-2026,https://courtiark.fr,READY_FOR_SEND,verifie le 26/09/2026 (HTTP),envoyer apres autorisation,non,non
Orica,orica.fr,FR,2,organisme de formation courtage,24,15,16,7,9,5,76,equipe,equipe pedagogique,contact@orica.fr,page nous contacter,oui,formations courtage et organisation du cabinet,voir 12_PR_ANGLES.md,/etudes/courtage-assurance-france-2026,https://courtiark.fr,READY_FOR_SEND,verifie le 26/09/2026 (HTTP),envoyer apres autorisation,non,non
Finc Up,fincup.fr,FR,3,formation courtier en ligne,22,14,15,6,8,5,70,equipe,equipe,,page contact du site,oui,formation IAS et parcours courtier en assurances,voir 12_PR_ANGLES.md,/etudes/courtage-assurance-france-2026,https://courtiark.fr,READY_FOR_SEND,verifie le 26/09/2026 (HTTP),envoyer apres autorisation,non,non
Actif Formation,actif-formation.fr,FR,3,organisme de formation assurance,22,13,14,6,7,5,67,equipe,equipe,,page contact du site,oui,parcours debutant et professionnel courtier,voir 12_PR_ANGLES.md,/etudes/courtage-assurance-france-2026,https://courtiark.fr,READY_FOR_SEND,verifie le 26/09/2026 (HTTP),envoyer apres autorisation,non,non
Formera,formera.fr,FR,3,formation habilitation ORIAS,22,13,14,6,7,6,68,equipe,equipe,,page contact du site,oui,formation courtier assurance habilitation IAS / ORIAS,voir 12_PR_ANGLES.md,/etudes/courtage-assurance-france-2026,https://courtiark.fr,READY_FOR_SEND,verifie le 26/09/2026 (HTTP),envoyer apres autorisation,non,non
Assurance en coulisses (podcast),antoinegandois.fr,FR,2,podcast assurance,26,16,17,7,10,7,83,Antoine Gandois,animateur,,page du podcast,oui,podcast metier : entretiens avec des acteurs de l assurance,voir 12_PR_ANGLES.md,/etudes/courtage-assurance-france-2026,https://courtiark.fr,READY_FOR_SEND,verifie le 26/09/2026 (HTTP),envoyer apres autorisation,non,non
Sothura,sothura.com,CH,3,"courtier suisse, contenus pour courtiers",22,14,14,5,7,5,67,equipe,equipe,,page contact du site,oui,espace de connaissances destine aux courtiers suisses,voir 12_PR_ANGLES.md,/etudes/courtage-assurance-france-2026,https://courtiark.fr,READY_FOR_SEND,verifie le 26/09/2026 (HTTP),envoyer apres autorisation,non,non
Capterra,capterra.com,INT,3,annuaire logiciel,20,14,18,4,10,10,76,,,,inscription annuaire (verification par email),non,categorie Insurance CRM Software,voir 12_PR_ANGLES.md,/etudes/courtage-assurance-france-2026,https://courtiark.fr,READY_FOR_SEND,verifie le 26/09/2026 (HTTP),envoyer apres autorisation,non,non
GetApp,getapp.com,INT,3,annuaire logiciel,20,13,17,4,10,10,74,,,,inscription annuaire,non,annuaire logiciel (groupe Gartner),voir 12_PR_ANGLES.md,/etudes/courtage-assurance-france-2026,https://courtiark.fr,READY_FOR_SEND,verifie le 26/09/2026 (HTTP),envoyer apres autorisation,non,non
G2,g2.com,INT,3,annuaire logiciel,20,13,19,4,10,10,76,,,,inscription annuaire,non,plateforme d avis logiciel,voir 12_PR_ANGLES.md,/etudes/courtage-assurance-france-2026,https://courtiark.fr,READY_FOR_SEND,verifie le 26/09/2026 (HTTP),envoyer apres autorisation,non,non
Appvizer,appvizer.fr,FR,3,annuaire logiciel francais,22,14,15,5,9,9,74,,,,inscription annuaire,non,annuaire francais de logiciels,voir 12_PR_ANGLES.md,/etudes/courtage-assurance-france-2026,https://courtiark.fr,READY_FOR_SEND,verifie le 26/09/2026 (HTTP),envoyer apres autorisation,non,non
Trustpilot,trustpilot.com,INT,3,avis,18,13,17,4,8,8,68,,,,inscription plateforme,non,"plateforme d avis (aucun avis interne, voir regle)",voir 12_PR_ANGLES.md,/etudes/courtage-assurance-france-2026,https://courtiark.fr,READY_FOR_SEND,verifie le 26/09/2026 (HTTP),envoyer apres autorisation,non,non
