domaine,type,audience,angle,asset_courtia,acces_public,priorite,statut,contact_engage
courtage-academy.com,formation courtage,courtiers et nouveaux entrants,outils gratuits utilisables en formation,calculateurs + checklists,https://www.courtage-academy.com/nos-formations-ias,1,cible,non — aucune démarche sans autorisation
courtage-magazine.fr,média spécialisé courtage,courtiers et cabinets,un sujet de méthode (mesurer le temps administratif) plutôt qu'un argumentaire produit,protocole de mesure + calculateur de temps,https://courtage-magazine.fr/,1,cible,non — aucune démarche sans autorisation
digital-et-assurance.com,média digitalisation assurance,"assureurs, courtiers, insurtechs",retour d'expérience sur l'automatisation réellement possible dans un cabinet,processus + calculateur,https://www.digital-et-assurance.com/analyses/presse-specialisee-assurance/,1,cible,non — aucune démarche sans autorisation
franceassureurs.fr,fédération professionnelle,assureurs et professionnels de l'assurance,partager un actif de données publiques sur le courtage (cartographie SIRENE),cartographie des courtiers en France,https://www.franceassureurs.fr/,1,cible,non — aucune démarche sans autorisation
newsassurancespro.com,média professionnel assurance,professionnels de l'assurance,données publiques mises en forme et datées,cartographie des courtiers,https://www.newsassurancespro.com/,1,cible,non — aucune démarche sans autorisation
orica.fr,organisme de formation,courtiers en formation,supports libres d'accès pour les stagiaires,checklists + glossaire + processus,https://www.orica.fr/formation-dda-directive-sur-la-distribution-dassurance,1,cible,non — aucune démarche sans autorisation
vcw.ch,association professionnelle suisse,intermédiaires d'assurance suisses,contenus sur la traçabilité du conseil et l'organisation du cabinet,glossaire suisse + conformité LSA/FINMA,https://vcw.ch/fr/,1,cible,non — aucune démarche sans autorisation
acpr.banque-france.fr,autorité de surveillance,—,veille réglementaire uniquement : on ne sollicite pas un régulateur pour un lien,—,https://acpr.banque-france.fr/fr/professionnels/lacpr-vous-accompagne/intermediaires/associations-de-courtiers,0,veille,non — aucune démarche sans autorisation
codecourtage.fr,annuaire/formation,courtiers,à qualifier avant démarche,—,https://codecourtage.fr/syndicats-courtiers-assurances-france/,0,a qualifier,non — aucune démarche sans autorisation
data.bnf.fr,base de données publique,—,aucun usage,—,https://data.bnf.fr/fr/12270848/federation_francaise_des_courtiers_d_assurances_et_de_reassurances/,0,hors cible,non — aucune démarche sans autorisation
facebook.com,réseau social,—,aucun usage,—,https://www.facebook.com/acacourtiers/,0,hors cible,non — aucune démarche sans autorisation
facfr.fr,à qualifier,,à qualifier avant toute démarche,,https://facfr.fr/,0,a qualifier,non — aucune démarche sans autorisation
finma.ch,autorité de surveillance,—,veille réglementaire uniquement : on ne sollicite pas un régulateur pour un lien,—,https://www.finma.ch/fr/autorisation/intermediation-dassurance/,0,veille,non — aucune démarche sans autorisation
francetransactions.com,acteur transactions,chroniqueurs/professionnels,à qualifier avant toute démarche,—,https://www.francetransactions.com/actus/assurancevie/journees-du-courtage-salon-professionnel-courtiers-assurances.html,0,a qualifier,non — aucune démarche sans autorisation
kereis-solutions.com,acteur assurance (courtage),courtiers,"à qualifier : acteur du courtage, pas un média",—,https://www.kereis-solutions.com/actualites/la-kapsule-le-podcast-qui-va-a-la-rencontre-des-courtiers-en-assurance/,0,a qualifier,non — aucune démarche sans autorisation
netvox-assurances.fr,courtier grossiste,courtiers,à qualifier : concurrent potentiel sur certaines offres,—,https://www.netvox-assurances.fr/communication/presse/,0,a qualifier,non — aucune démarche sans autorisation
planetecsca.fr,à qualifier,,à qualifier avant toute démarche,,https://www.planetecsca.fr/,0,a qualifier,non — aucune démarche sans autorisation
podcast.ausha.co,plateforme de podcast,—,aucun usage,—,https://podcast.ausha.co/decrypte-l-assurance-le-podcast-qui-rend-l-assurance-presque-sexy/decrypte-l-assurance-jingle,0,hors cible,non — aucune démarche sans autorisation
podcastics.com,plateforme de podcast,—,aucun usage,—,https://www.podcastics.com/podcast/jassure-en-assurances/,0,hors cible,non — aucune démarche sans autorisation
rts.ch,média généraliste suisse,grand public suisse,à traiter seulement en cas de donnée suisse solide ; nous n'en avons pas encore,—,https://www.rts.ch/info/suisse/14405612-attention-aux-methodes-abusives-de-certains-courtiers-en-assurance.html,0,veille,non — aucune démarche sans autorisation
shows.acast.com,plateforme de podcast,—,aucun usage,—,https://shows.acast.com/diotsiaci-podcast,0,hors cible,non — aucune démarche sans autorisation
youtube.com,plateforme,—,aucun usage,—,https://www.youtube.com/watch?v=BpH0jAUyE1U,0,hors cible,non — aucune démarche sans autorisation
