ENTITY,TOPIC,SUBTOPIC,QUERY,INTENT,FUNNEL,COUNTRY,PERSONA,PRODUCT_FIT,CURRENT_URL,URL_PUBLIEE,SERP_TYPE,COMPETITION_OBSERVED,UNIQUE_VALUE_AVAILABLE,DECISION
courtier,productivité,hub,gagner du temps courtier assurance,problème,conscience,FR,courtier indépendant,vérifiée (tâches réelles),/fr/gagner-du-temps-courtier-assurance,oui,non observée,non observée,"contenu vérifié dans le produit ou la méthode, publié",COVERED
courtier,productivité,famille,temps administratif courtier,problème,conscience,FR,cabinet,vérifiée + outil,/fr/gain-de-temps/temps-administratif-et-double-saisie,oui,non observée,non observée,"contenu vérifié dans le produit ou la méthode, publié",COVERED
courtier,productivité,famille,réduire double saisie,problème,conscience,FR,cabinet,vérifiée,/fr/reduire-double-saisie-cabinet-courtage,oui,non observée,non observée,"contenu vérifié dans le produit ou la méthode, publié",COVERED
courtier,productivité,famille,organisation cabinet courtage,problème,conscience,FR,cabinet,vérifiée,/fr/organisation-cabinet-courtage,oui,observée (8 résultats),"assur3d.com, custy.com, digitiz.fr, logiciel-gestion-courtage.fr","contenu vérifié dans le produit ou la méthode, publié",COVERED
courtier,productivité,famille,prioriser dossiers courtier,problème,conscience,FR,courtier,"vérifiée (score, brief)",/fr/prioriser-dossiers-courtier-assurance,oui,non observée,non observée,"contenu vérifié dans le produit ou la méthode, publié",COVERED
courtier,productivité,mesure,mesurer temps administratif,problème,conscience,FR,responsable,vérifiée + méthode,/fr/mesurer-temps-administratif-cabinet,oui,non observée,non observée,"contenu vérifié dans le produit ou la méthode, publié",COVERED
courtier,productivité,outil,calculateur temps administratif,problème,conscience,FR,responsable,vérifiée (outil),/fr/outils/calculateur-temps-administratif,oui,non observée,non observée,"contenu vérifié dans le produit ou la méthode, publié",COVERED
courtier,productivité,outil,calculateur roi logiciel courtier,commerciale,decision,FR,responsable,vérifiée (calcul),/fr/outils/calculateur-roi-courtia,oui,non observée,"assur3d.com, creatio.com, custy.com, francelogidev.fr","contenu vérifié dans le produit ou la méthode, publié",COVERED
courtier,productivité,outil,diagnostic automatisation cabinet,problème,conscience,FR,responsable,vérifiée (outil),/fr/outils/diagnostic-automatisation-cabinet,oui,observée (8 résultats),"agenceautomate.com, cheminsdart.fr, epargnant30.fr, fortunebusinessinsights.com","contenu vérifié dans le produit ou la méthode, publié",COVERED
courtier,productivité,processus,workflow courtier assurance,problème,conscience,FR,responsable,vérifiée (14 processus),/fr/workflows-courtier-assurance,oui,observée (8 résultats),"360courtage.fr, brdr.hkma.gov.hk, cgrm.com, courtia.assure-finance.fr","contenu vérifié dans le produit ou la méthode, publié",COVERED
courtier,relances,famille,relance client assurance,fonction,conscience,FR,courtier,vérifiée,/fr/relance-client-assurance,oui,non observée,non observée,"contenu vérifié dans le produit ou la méthode, publié",COVERED
courtier,relances,guide,automatiser relances courtier,problème,conscience,FR,courtier,vérifiée (préparation + validation),/fr/guide/automatiser-relances-courtier,oui,non observée,non observée,"contenu vérifié dans le produit ou la méthode, publié",COVERED
courtier,relances,processus,process relance devis,problème,conscience,FR,courtier,vérifiée,/fr/workflows/relance-de-devis,oui,non observée,non observée,"contenu vérifié dans le produit ou la méthode, publié",COVERED
courtier,renouvellements,famille,gestion renouvellements assurance,fonction,conscience,FR,cabinet,vérifiée,/fr/logiciel-courtier-renouvellements,oui,observée (8 résultats),"assur3d.com, custy.com, digitiz.fr, logiciel-gestion-courtage.fr","contenu vérifié dans le produit ou la méthode, publié",COVERED
courtier,renouvellements,guide,organiser renouvellements,problème,conscience,FR,cabinet,vérifiée (paliers),/fr/guide/organiser-renouvellements-courtier,oui,non observée,non observée,"contenu vérifié dans le produit ou la méthode, publié",COVERED
courtier,portefeuille,famille,gestion portefeuille assurance,fonction,conscience,FR,cabinet,vérifiée,/fr/gestion-portefeuille-courtier,oui,observée (8 résultats),"assur3d.com, custy.com, digitiz.fr, logiciel-gestion-courtage.fr","contenu vérifié dans le produit ou la méthode, publié",COVERED
courtier,portefeuille,fonction,santé portefeuille assurance,fonction,conscience,FR,responsable,"vérifiée (score, brief)",/fr/sante-portefeuille-courtier-assurance,oui,non observée,non observée,"contenu vérifié dans le produit ou la méthode, publié",COVERED
courtier,documents,famille,gestion documentaire courtier,fonction,conscience,FR,cabinet,vérifiée,/fr/gestion-documentaire-courtier-assurance,oui,observée (8 résultats),"assur3d.com, custy.com, digitiz.fr, logiciel-gestion-courtage.fr","contenu vérifié dans le produit ou la méthode, publié",COVERED
courtier,documents,processus,collecte pièces client,problème,conscience,FR,assistant,vérifiée (lien de dépôt),/fr/workflows/collecte-de-pieces,oui,non observée,non observée,"contenu vérifié dans le produit ou la méthode, publié",COVERED
courtier,documents,checklist,checklist collecte documentaire,problème,conscience,FR,assistant,utile sans produit,/fr/checklists/collecte-documentaire,oui,non observée,non observée,"contenu vérifié dans le produit ou la méthode, publié",COVERED
intermediaire,documents,pays,dépôt de pièces suisse,fonction,conscience,CH,courtier romand,vérifiée,/ch/portail-client-assurance-suisse,oui,non observée,non observée,"contenu vérifié dans le produit ou la méthode, publié",COVERED
courtier,IA,famille,ia courtier assurance,technologique,conscience,FR,courtier,vérifiée (usages réels),/fr/ia-courtier-assurance,oui,observée (8 résultats),"360courtage.fr, brdr.hkma.gov.hk, cgrm.com, courtia.assure-finance.fr","contenu vérifié dans le produit ou la méthode, publié",COVERED
courtier,IA,famille,ia assurance,technologique,conscience,FR,courtier,partielle (intention plus large que le produit),/fr/ia-courtier-assurance,oui,observée (8 résultats),"360courtage.fr, brdr.hkma.gov.hk, cgrm.com, courtia.assure-finance.fr",intention servie par une page existante (fusion décidée),MERGED
courtier,IA,famille,assistant ia courtier,technologique,conscience,FR,courtier,vérifiée,/fr/ia-courtier-assurance,oui,observée (8 résultats),"360courtage.fr, brdr.hkma.gov.hk, cgrm.com, courtia.assure-finance.fr",intention servie par une page existante (fusion décidée),MERGED
courtier,IA,fonction,extraction documents assurance,fonction,conscience,FR,assistant,"vérifiée (RIB, carte grise)",/fr/ia-gestion-documentaire-assurance,oui,observée (8 résultats),non observée,"contenu vérifié dans le produit ou la méthode, publié",COVERED
courtier,IA,fonction,transcription appel courtier,fonction,conscience,FR,courtier,vérifiée,/fr/dicter-compte-rendu-appel-assurance,oui,observée (8 résultats),non observée,"contenu vérifié dans le produit ou la méthode, publié",COVERED
courtier,IA,orientation,ia analyse dossiers assurance,fonction,conscience,FR,courtier,"vérifiée (résumé, pas de décision)",/fr/ia-courtier-assurance,oui,observée (8 résultats),non observée,intention servie par une page existante (fusion décidée),MERGED
courtier,automatisation,famille,automatisation courtier assurance,technologique,conscience,FR,cabinet,vérifiée (avec validation),/fr/automatisation-courtier-assurance,oui,observée (8 résultats),"360courtage.fr, brdr.hkma.gov.hk, cgrm.com, courtia.assure-finance.fr","contenu vérifié dans le produit ou la méthode, publié",COVERED
intermediaire,automatisation,pays,automatisation courtier suisse,technologique,conscience,CH,cabinet romand,vérifiée,/ch/automatisation-courtier-assurance-suisse,oui,observée (8 résultats),"360courtage.fr, brdr.hkma.gov.hk, cgrm.com, courtia.assure-finance.fr","contenu vérifié dans le produit ou la méthode, publié",COVERED
courtier,fonctions,tâches,gestion tâches cabinet courtage,fonction,conscience,FR,cabinet,vérifiée,/fr/gestion-taches-cabinet-courtage,oui,observée (8 résultats),"assur3d.com, custy.com, digitiz.fr, logiciel-gestion-courtage.fr","contenu vérifié dans le produit ou la méthode, publié",COVERED
courtier,fonctions,agenda,rendez-vous courtier assurance,fonction,conscience,FR,courtier,vérifiée,/fr/rendez-vous-courtier-assurance,oui,observée (8 résultats),"360courtage.fr, brdr.hkma.gov.hk, cgrm.com, courtia.assure-finance.fr","contenu vérifié dans le produit ou la méthode, publié",COVERED
courtier,fonctions,whatsapp,whatsapp courtier assurance,fonction,conscience,FR,courtier,vérifiée (API Business),/fr/whatsapp-courtier-assurance,oui,observée (8 résultats),"360courtage.fr, brdr.hkma.gov.hk, cgrm.com, courtia.assure-finance.fr","contenu vérifié dans le produit ou la méthode, publié",COVERED
courtier,fonctions,pipeline,pipeline courtier assurance,fonction,conscience,FR,courtier,vérifiée,/fr/pipeline-kanban-courtier-assurance,oui,observée (8 résultats),"360courtage.fr, brdr.hkma.gov.hk, cgrm.com, courtia.assure-finance.fr","contenu vérifié dans le produit ou la méthode, publié",COVERED
courtier,fonctions,équipe,logiciel courtier équipe,fonction,conscience,FR,cabinet,vérifiée (rôles),/fr/logiciel-courtier-equipe,oui,observée (8 résultats),"360courtage.fr, brdr.hkma.gov.hk, cgrm.com, courtia.assure-finance.fr","contenu vérifié dans le produit ou la méthode, publié",COVERED
courtier,fonctions,partenaires,apporteur affaires assurance,fonction,conscience,FR,cabinet,vérifiée,/fr/partenaires-apporteurs-courtier-assurance,oui,non observée,non observée,"contenu vérifié dans le produit ou la méthode, publié",COVERED
courtier,fonctions,formation,formation équipe courtage,fonction,conscience,FR,cabinet,vérifiée (academy interne),/fr/formation-equipe-courtier-assurance,oui,non observée,non observée,"contenu vérifié dans le produit ou la méthode, publié",COVERED
courtier,fonctions,reporting,reporting pilotage cabinet courtage,fonction,conscience,FR,responsable,vérifiée,/fr/reporting-pilotage-cabinet-courtage,oui,non observée,non observée,"contenu vérifié dans le produit ou la méthode, publié",COVERED
courtier,fonctions,prospects,gestion prospects assurance,fonction,conscience,FR,courtier,vérifiée,/fr/gestion-prospects-clients-courtier-assurance,oui,observée (8 résultats),"assur3d.com, custy.com, digitiz.fr, logiciel-gestion-courtage.fr","contenu vérifié dans le produit ou la méthode, publié",COVERED
courtier,fonctions,portail,portail client assurance,fonction,conscience,FR,cabinet,vérifiée (dépôt par lien),/fr/portail-client-courtier-assurance,oui,non observée,non observée,"contenu vérifié dans le produit ou la méthode, publié",COVERED
courtier,fonctions,import,import portefeuille courtier,opérationnelle,conscience,FR,cabinet,vérifiée,/fr/import-portefeuille-courtier-assurance,oui,non observée,non observée,"contenu vérifié dans le produit ou la méthode, publié",COVERED
courtier,facturation,général,facturation cabinet courtage,opérationnelle,conscience,FR,cabinet,"non couverte (produit facture les abonnements, pas les clients)",,aucune,observée (8 résultats),"assur3d.com, custy.com, digitiz.fr, logiciel-gestion-courtage.fr",aucune valeur propre disponible — écarté volontairement,REJECTED
courtier,fonctions,signature électronique,signature électronique courtier,opérationnelle,conscience,FR,cabinet,non couverte de bout en bout,,aucune,non observée,non observée,aucune valeur propre disponible — écarté volontairement,REJECTED
courtier,commissions,famille,gestion commissions courtier,fonction,conscience,FR,cabinet,vérifiée,/fr/gestion-commissions-courtier-assurance,oui,observée (8 résultats),"assur3d.com, custy.com, digitiz.fr, logiciel-gestion-courtage.fr","contenu vérifié dans le produit ou la méthode, publié",COVERED
intermediaire,commissions,pays,commissions courtier suisse,fonction,conscience,CH,cabinet romand,vérifiée (CHF),/ch/gestion-commissions-courtier-assurance-suisse,oui,observée (8 résultats),"360courtage.fr, brdr.hkma.gov.hk, cgrm.com, courtia.assure-finance.fr","contenu vérifié dans le produit ou la méthode, publié",COVERED
courtier,sinistres,famille,suivi sinistres courtier,fonction,conscience,FR,courtier,vérifiée (module sinistres),/fr/sinistres-courtier-assurance,oui,non observée,non observée,"contenu vérifié dans le produit ou la méthode, publié",COVERED
intermediaire,sinistres,pays,sinistre assurance suisse,fonction,conscience,CH,courtier romand,vérifiée,/ch/sinistres-courtier-assurance-suisse,oui,observée (8 résultats),"360courtage.fr, brdr.hkma.gov.hk, cgrm.com, courtia.assure-finance.fr","contenu vérifié dans le produit ou la méthode, publié",COVERED
courtier,conformité,famille,conformité courtier assurance,réglementaire,conscience,FR,responsable,vérifiée (module conformité),/fr/conformite-courtier-assurance,oui,observée (8 résultats),"360courtage.fr, brdr.hkma.gov.hk, cgrm.com, courtia.assure-finance.fr","contenu vérifié dans le produit ou la méthode, publié",COVERED
intermediaire,conformité,pays,conformité intermédiaire suisse,réglementaire,conscience,CH,cabinet romand,"vérifiée (référentiels, sans revendication)",/ch/conformite-intermediaire-assurance-lsa-finma,oui,observée (8 résultats),"brokerstar.swiss, brokinsoft.ch, noovo.ch, romandiecourtage.ch","contenu vérifié dans le produit ou la méthode, publié",COVERED
intermediaire,données personnelles,pays,nlpd courtier assurance,réglementaire,conscience,CH,cabinet romand,vérifiée (cloisonnement),/ch/nlpd-courtier-assurance,oui,observée (8 résultats),"360courtage.fr, brdr.hkma.gov.hk, cgrm.com, courtia.assure-finance.fr","contenu vérifié dans le produit ou la méthode, publié",COVERED
courtier,guides,méthode,choisir un crm courtage,informationnelle,comparaison,FR,responsable,méthode neutre,/fr/guide/choisir-crm-cabinet-courtage,oui,non observée,"arilla.ch, brokerstar.swiss, brokinsoft.ch, fortunebusinessinsights.com","contenu vérifié dans le produit ou la méthode, publié",COVERED
courtier,guides,méthode,structurer pipeline courtier,informationnelle,conscience,FR,courtier,méthode,/fr/guide/structurer-pipeline-courtier,oui,non observée,non observée,"contenu vérifié dans le produit ou la méthode, publié",COVERED
courtier,guides,méthode,centraliser dossiers clients,informationnelle,conscience,FR,cabinet,méthode,/fr/guide/centraliser-dossiers-clients,oui,non observée,non observée,"contenu vérifié dans le produit ou la méthode, publié",COVERED
courtier,guides,méthode,intégrer ia cabinet courtage,informationnelle,conscience,FR,responsable,méthode + limites,/fr/guide/integrer-ia-cabinet-courtage,oui,observée (8 résultats),"assur3d.com, custy.com, digitiz.fr, logiciel-gestion-courtage.fr","contenu vérifié dans le produit ou la méthode, publié",COVERED
courtier,guides,méthode,onboarding client courtier,informationnelle,conscience,FR,assistant,méthode + checklist,/fr/guide/onboarding-client-courtier,oui,non observée,non observée,"contenu vérifié dans le produit ou la méthode, publié",COVERED
courtier,guides,méthode,suivre prospects courtier,informationnelle,conscience,FR,courtier,méthode,/fr/guide/suivre-prospects-courtier,oui,non observée,non observée,"contenu vérifié dans le produit ou la méthode, publié",COVERED
courtier,guides,méthode,réduire double saisie guide,informationnelle,conscience,FR,cabinet,méthode,/fr/reduire-double-saisie-cabinet-courtage,oui,non observée,non observée,intention servie par une page existante (fusion décidée),MERGED
courtier,glossaire,entrée,courtier d'assurance définition,informationnelle,conscience,FR,nouvel arrivant,définition + contexte,/fr/glossaire/courtier-assurance,oui,observée (8 résultats),"360courtage.fr, brdr.hkma.gov.hk, cgrm.com, courtia.assure-finance.fr","contenu vérifié dans le produit ou la méthode, publié",COVERED
courtier,glossaire,entrée,devoir de conseil définition,informationnelle,conscience,FR,courtier,définition + exemple,/fr/glossaire/devoir-de-conseil,oui,non observée,non observée,"contenu vérifié dans le produit ou la méthode, publié",COVERED
courtier,glossaire,entrée,commission de courtage définition,informationnelle,conscience,FR,courtier,définition + exemple,/fr/glossaire/commissions,oui,non observée,"arilla.ch, brokerstar.swiss, brokinsoft.ch, fortunebusinessinsights.com","contenu vérifié dans le produit ou la méthode, publié",COVERED
intermediaire,glossaire,entrée,intermédiaire d'assurance définition suisse,informationnelle,conscience,CH,nouvel arrivant,définition suisse,/ch/glossaire,oui,observée (8 résultats),"brokerstar.swiss, brokinsoft.ch, noovo.ch, romandiecourtage.ch","contenu vérifié dans le produit ou la méthode, publié",COVERED
courtier,comparatifs,catégorie,crm spécialisé vs crm généraliste,commerciale,comparaison,FR,responsable,comparaison de catégories,/fr/comparatif/crm-specialise-vs-crm-generaliste,oui,observée (8 résultats),non observée,"contenu vérifié dans le produit ou la méthode, publié",COVERED
courtier,comparatifs,catégorie,crm courtier vs excel,commerciale,comparaison,FR,courtier indépendant,comparaison de méthodes,/fr/comparatif/crm-courtier-vs-excel,oui,observée (8 résultats),"360courtage.fr, brdr.hkma.gov.hk, cgrm.com, courtia.assure-finance.fr","contenu vérifié dans le produit ou la méthode, publié",COVERED
courtier,comparatifs,catégorie,automatisation vs gestion manuelle,commerciale,comparaison,FR,cabinet,comparaison de méthodes,/fr/comparatif/automatisation-vs-gestion-manuelle,oui,observée (8 résultats),"agenceautomate.com, cheminsdart.fr, epargnant30.fr, fortunebusinessinsights.com","contenu vérifié dans le produit ou la méthode, publié",COVERED
courtier,comparatifs,méthode,comment évaluer un crm courtier,informationnelle,comparaison,FR,responsable,grille neutre,/fr/evaluer-crm-courtier-assurance,oui,non observée,non observée,"contenu vérifié dans le produit ou la méthode, publié",COVERED
courtier,segments,branche,logiciel courtier auto,commerciale,decision,FR,courtier auto,"vérifiée (dossier, échéances, pièces)",/fr/logiciel-courtier-auto,oui,observée (8 résultats),"360courtage.fr, brdr.hkma.gov.hk, cgrm.com, courtia.assure-finance.fr","contenu vérifié dans le produit ou la méthode, publié",COVERED
courtier,segments,branche,logiciel courtier habitation,commerciale,decision,FR,courtier IARD,vérifiée,/fr/logiciel-courtier-habitation,oui,observée (8 résultats),"360courtage.fr, brdr.hkma.gov.hk, cgrm.com, courtia.assure-finance.fr","contenu vérifié dans le produit ou la méthode, publié",COVERED
courtier,segments,branche,logiciel courtier entreprise,commerciale,decision,FR,courtier entreprises,vérifiée (personnes morales),/fr/logiciel-courtier-entreprise,oui,observée (8 résultats),"360courtage.fr, brdr.hkma.gov.hk, cgrm.com, courtia.assure-finance.fr","contenu vérifié dans le produit ou la méthode, publié",COVERED
courtier,segments,branche,logiciel courtier transport flotte,commerciale,decision,FR,courtier transport,"vérifiée (véhicules, échéances multiples)",/fr/logiciel-courtier-transport-flotte,oui,observée (8 résultats),"360courtage.fr, brdr.hkma.gov.hk, cgrm.com, courtia.assure-finance.fr","contenu vérifié dans le produit ou la méthode, publié",COVERED
courtier,segments,branche,logiciel courtier décennale,commerciale,decision,FR,courtier construction,"vérifiée (attestations, chantiers)",/fr/logiciel-courtier-decennale,oui,observée (8 résultats),"360courtage.fr, brdr.hkma.gov.hk, cgrm.com, courtia.assure-finance.fr","contenu vérifié dans le produit ou la méthode, publié",COVERED
courtier,segments,branche,logiciel courtier santé,commerciale,decision,FR,courtier santé,"vérifiée (événements, pièces sensibles)",/fr/logiciel-courtier-sante,oui,observée (8 résultats),"360courtage.fr, brdr.hkma.gov.hk, cgrm.com, courtia.assure-finance.fr","contenu vérifié dans le produit ou la méthode, publié",COVERED
courtier,segments,branche,logiciel courtier prévoyance,commerciale,decision,FR,courtier prévoyance,vérifiée,/fr/logiciel-courtier-prevoyance,oui,observée (8 résultats),"360courtage.fr, brdr.hkma.gov.hk, cgrm.com, courtia.assure-finance.fr","contenu vérifié dans le produit ou la méthode, publié",COVERED
courtier,segments,branche,logiciel courtier emprunteur,commerciale,decision,FR,courtier crédit,vérifiée,/fr/logiciel-courtier-emprunteur,oui,observée (8 résultats),"360courtage.fr, brdr.hkma.gov.hk, cgrm.com, courtia.assure-finance.fr","contenu vérifié dans le produit ou la méthode, publié",COVERED
courtier,segments,branche,logiciel courtier taxi vtc,commerciale,decision,FR,courtier VTC,"vérifiée mais non distincte du transport (JEV 0,54)",/fr/logiciel-courtier-transport-flotte,oui,observée (8 résultats),"360courtage.fr, brdr.hkma.gov.hk, cgrm.com, courtia.assure-finance.fr",intention servie par une page existante (fusion décidée),MERGED
courtier,segments,branche,logiciel courtier cyber,commerciale,decision,FR,courtier cyber,non couverte (aucune évaluation technique dans le produit),,aucune,observée (8 résultats),"360courtage.fr, brdr.hkma.gov.hk, cgrm.com, courtia.assure-finance.fr",aucune valeur propre disponible — écarté volontairement,REJECTED
courtier,segments,branche,logiciel courtier rc professionnelle,commerciale,decision,FR,courtier RC pro,"vérifiée mais non distincte (JEV 0,42)",/fr/logiciel-courtier-entreprise,oui,observée (8 résultats),"360courtage.fr, brdr.hkma.gov.hk, cgrm.com, courtia.assure-finance.fr",intention servie par une page existante (fusion décidée),MERGED
courtier,segments,branche,logiciel courtier multirisque professionnelle,commerciale,decision,FR,courtier pro,"non distincte (JEV 0,49)",/fr/logiciel-courtier-entreprise,oui,observée (8 résultats),"360courtage.fr, brdr.hkma.gov.hk, cgrm.com, courtia.assure-finance.fr",intention servie par une page existante (fusion décidée),MERGED
courtier,segments,branche,logiciel courtier tpe pme,commerciale,decision,FR,courtier TPE/PME,"non distincte de la page entreprises (JEV 0,52)",/fr/logiciel-courtier-entreprise,oui,observée (8 résultats),"360courtage.fr, brdr.hkma.gov.hk, cgrm.com, courtia.assure-finance.fr",intention servie par une page existante (fusion décidée),MERGED
courtier,entités,statut,logiciel courtier mandataire,commerciale,decision,FR,mandataire,vérifiée,/fr/logiciel-courtier-mandataire,oui,observée (8 résultats),"360courtage.fr, brdr.hkma.gov.hk, cgrm.com, courtia.assure-finance.fr","contenu vérifié dans le produit ou la méthode, publié",COVERED
courtier,entités,statut,logiciel courtier grossiste,commerciale,decision,FR,courtier grossiste,vérifiée (apporteurs),/fr/logiciel-courtier-grossiste,oui,observée (8 résultats),"360courtage.fr, brdr.hkma.gov.hk, cgrm.com, courtia.assure-finance.fr","contenu vérifié dans le produit ou la méthode, publié",COVERED
courtier,entités,statut,logiciel courtier tns,commerciale,decision,FR,courtier seul,vérifiée,/fr/logiciel-courtier-tns,oui,observée (8 résultats),"360courtage.fr, brdr.hkma.gov.hk, cgrm.com, courtia.assure-finance.fr","contenu vérifié dans le produit ou la méthode, publié",COVERED
courtier,entités,statut,logiciel courtier multi-agences,commerciale,decision,FR,réseau,"vérifiée (rôles, cloisonnement)",/fr/logiciel-courtier-multi-agences,oui,observée (8 résultats),"360courtage.fr, brdr.hkma.gov.hk, cgrm.com, courtia.assure-finance.fr","contenu vérifié dans le produit ou la méthode, publié",COVERED
courtier,entités,statut,apporteur d'affaires suisse,commerciale,decision,CH,apporteur romand,vérifiée,/ch/partenaires-apporteurs-courtier-assurance-suisse,oui,non observée,non observée,"contenu vérifié dans le produit ou la méthode, publié",COVERED
courtier,local,ville,logiciel courtier assurance paris,locale,decision,FR,courtier francilien,vérifiée + données SIRENE,/fr/logiciel-courtier-assurance-paris,oui,observée (8 résultats),"360courtage.fr, brdr.hkma.gov.hk, cgrm.com, courtia.assure-finance.fr","contenu vérifié dans le produit ou la méthode, publié",COVERED
courtier,local,ville,logiciel courtier assurance lyon,locale,decision,FR,courtier lyonnais,vérifiée + données SIRENE,/fr/logiciel-courtier-assurance-lyon,oui,observée (8 résultats),"360courtage.fr, brdr.hkma.gov.hk, cgrm.com, courtia.assure-finance.fr","contenu vérifié dans le produit ou la méthode, publié",COVERED
courtier,local,ville,logiciel courtier assurance marseille,locale,decision,FR,courtier marseillais,vérifiée + données SIRENE,/fr/logiciel-courtier-assurance-marseille,oui,observée (8 résultats),"360courtage.fr, brdr.hkma.gov.hk, cgrm.com, courtia.assure-finance.fr","contenu vérifié dans le produit ou la méthode, publié",COVERED
courtier,local,ville,logiciel courtier assurance bordeaux,locale,decision,FR,courtier bordelais,vérifiée + données SIRENE,/fr/logiciel-courtier-assurance-bordeaux,oui,observée (8 résultats),"360courtage.fr, brdr.hkma.gov.hk, cgrm.com, courtia.assure-finance.fr","contenu vérifié dans le produit ou la méthode, publié",COVERED
courtier,local,ville,logiciel courtier assurance toulouse,locale,decision,FR,courtier toulousain,vérifiée + données SIRENE,/fr/logiciel-courtier-assurance-toulouse,oui,observée (8 résultats),"360courtage.fr, brdr.hkma.gov.hk, cgrm.com, courtia.assure-finance.fr","contenu vérifié dans le produit ou la méthode, publié",COVERED
courtier,local,ville,logiciel courtier assurance nantes,locale,decision,FR,courtier nantais,vérifiée + données SIRENE,/fr/logiciel-courtier-assurance-nantes,oui,observée (8 résultats),"360courtage.fr, brdr.hkma.gov.hk, cgrm.com, courtia.assure-finance.fr","contenu vérifié dans le produit ou la méthode, publié",COVERED
courtier,local,ville,logiciel courtier assurance lille,locale,decision,FR,courtier lillois,vérifiée + données SIRENE,/fr/logiciel-courtier-assurance-lille,oui,observée (8 résultats),"360courtage.fr, brdr.hkma.gov.hk, cgrm.com, courtia.assure-finance.fr","contenu vérifié dans le produit ou la méthode, publié",COVERED
