legacy_url,legacy_slug,legacy_topic,historic_title,historic_intent,historic_keyword,historic_content_found,current_equivalent,product_feature_exists,commercial_value,current_demand_signal,decision,destination,implementation,prod_test,final_status,notes
https://courtiark.fr/fr/historique-corrections-courtia,/fr/historique-corrections-courtia,historique des corrections,Historique des corrections — COURTIA,COMMERCIAL_SOFTWARE,historique des corrections,oui,oui,oui,faible,aucune donnee Search Console sur ces URL (hors top requetes),REDIRECT,/changelog,regle de redirection permanente (seo/legacy_redirects.json),a verifier apres deploiement,IMPLEMENTE — test production a suivre,equivalent actuel : page de journal des versions
https://courtiark.fr/fr/mesurer-temps-administratif-cabinet,/fr/mesurer-temps-administratif-cabinet,mesure du temps,Mesurer le temps administratif d&#x27;un cabinet de courtage : la méthode,COMMERCIAL_SOFTWARE,mesure du temps,oui,oui,oui,faible,aucune donnee Search Console sur ces URL (hors top requetes),REDIRECT,/outils/calculateur-productivite-courtier,regle de redirection permanente (seo/legacy_redirects.json),a verifier apres deploiement,IMPLEMENTE — test production a suivre,la methode de mesure est portee par l outil de productivite
https://courtiark.fr/fr/methode-editoriale-courtia,/fr/methode-editoriale-courtia,methode editoriale,Notre méthode éditoriale — COURTIA,COMMERCIAL_SOFTWARE,methode editoriale,oui,oui,oui,faible,aucune donnee Search Console sur ces URL (hors top requetes),REDIRECT,/a-propos,regle de redirection permanente (seo/legacy_redirects.json),a verifier apres deploiement,IMPLEMENTE — test production a suivre,informations d entite : page a propos
https://courtiark.fr/fr/organisation-cabinet-courtage,/fr/organisation-cabinet-courtage,organisation du cabinet,Organiser un cabinet de courtage : méthodes et outils — COURTIA,COMMERCIAL_SOFTWARE,organisation du cabinet,oui,oui,oui,faible,aucune donnee Search Console sur ces URL (hors top requetes),REDIRECT,/guides/organiser-cabinet-courtage-25-points,regle de redirection permanente (seo/legacy_redirects.json),a verifier apres deploiement,IMPLEMENTE — test production a suivre,equivalent actuel exact (guide 25 points)
https://courtiark.fr/fr/partenaires-apporteurs-courtier-assurance,/fr/partenaires-apporteurs-courtier-assurance,apporteurs et partenaires,Partenaires et apporteurs d&#x27;affaires d&#x27;un cabinet de courtage — COURTIA,COMMERCIAL_SOFTWARE,apporteurs et partenaires,oui,oui,"oui — partners.js (CRUD + stats), table partners",moyenne,aucune donnee Search Console sur ces URL (hors top requetes),REDIRECT,/fonctionnalites/gestion-clients,regle de redirection permanente (seo/legacy_redirects.json),a verifier apres deploiement,IMPLEMENTE — test production a suivre,fonction reelle sans page dediee : RESTORE a envisager
https://courtiark.fr/fr/pipeline-kanban-courtier-assurance,/fr/pipeline-kanban-courtier-assurance,pipeline visuel,Pipeline visuel pour cabinet de courtage (Kanban) — COURTIA,COMMERCIAL_SOFTWARE,pipeline visuel,oui,oui,"oui — kanban_boards, kanban_cards",moyenne,aucune donnee Search Console sur ces URL (hors top requetes),REDIRECT,/fonctionnalites/prospection-assurance,regle de redirection permanente (seo/legacy_redirects.json),a verifier apres deploiement,IMPLEMENTE — test production a suivre,fonctionnalite couverte par la page prospection
https://courtiark.fr/fr/prioriser-dossiers-courtier-assurance,/fr/prioriser-dossiers-courtier-assurance,priorisation,Prioriser ses dossiers dans un cabinet de courtage — COURTIA,COMMERCIAL_SOFTWARE,priorisation,oui,oui,"oui — ark_actions, ark_recommendations, brief du matin",moyenne,aucune donnee Search Console sur ces URL (hors top requetes),REDIRECT,/fonctionnalites/assistant-ark,regle de redirection permanente (seo/legacy_redirects.json),a verifier apres deploiement,IMPLEMENTE — test production a suivre,la priorisation est le role d ARK
https://courtiark.fr/fr/reduire-double-saisie-cabinet-courtage,/fr/reduire-double-saisie-cabinet-courtage,double saisie,Réduire la double saisie dans un cabinet de courtage — COURTIA,COMMERCIAL_SOFTWARE,double saisie,oui,oui,"oui — import, docvision, lecture assistee",faible,aucune donnee Search Console sur ces URL (hors top requetes),REDIRECT,/guides/reduire-saisie-manuelle-courtier,regle de redirection permanente (seo/legacy_redirects.json),a verifier apres deploiement,IMPLEMENTE — test production a suivre,equivalent actuel exact
https://courtiark.fr/fr/rendez-vous-courtier-assurance,/fr/rendez-vous-courtier-assurance,agenda et rendez-vous,Rendez-vous et agenda d&#x27;un cabinet de courtage — COURTIA,COMMERCIAL_SOFTWARE,agenda et rendez-vous,oui,oui,"oui — calendar.js, appointments, calendar_events",moyenne,aucune donnee Search Console sur ces URL (hors top requetes),REDIRECT,/fonctionnalites/gestion-clients,regle de redirection permanente (seo/legacy_redirects.json),a verifier apres deploiement,IMPLEMENTE — test production a suivre,les rendez-vous vivent dans la fiche client
https://courtiark.fr/fr/sources-courtia,/fr/sources-courtia,sources,Nos sources — COURTIA,COMMERCIAL_SOFTWARE,sources,oui,oui,oui,faible,aucune donnee Search Console sur ces URL (hors top requetes),REDIRECT,/a-propos,regle de redirection permanente (seo/legacy_redirects.json),a verifier apres deploiement,IMPLEMENTE — test production a suivre,informations d entite : page a propos
https://courtiark.fr/landing,/landing,ancienne landing,COURTIA — CRM intelligent pour courtiers en assurance,COMMERCIAL_SOFTWARE,ancienne landing,oui,oui,oui,faible,aucune donnee Search Console sur ces URL (hors top requetes),REDIRECT,/,regle de redirection permanente (seo/legacy_redirects.json),a verifier apres deploiement,IMPLEMENTE — test production a suivre,l ancienne landing portait exactement l intention de l accueil actuel
